waitTime,numInQueue,sessionTime,hoursToDeadline,signUpTimeClean,adjustedSessionTAs,bitAndKarel,imagesAndGraphics,mapsAndDictionaries,lambdas,fileReading,grids,strings,userInteraction,queuesAndStacks,recursion,structs,objectOrientedProgramming,pointersAndMemory,sorting,hashTables,CS106ABinary
1,0,0.01,74.43333333,66667,12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
14,0,0.02,2.35,11111,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,1,0.01,74.35,88889,12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
11,1,0.02,74.35,88889,12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2,3,0.01,2.166666667,90625,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,3,0.02,2.15,44444,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,2,0.01,74.18333333,33333,12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
5,2,0.01,74.15,22222,12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
10,2,0.01,2.05,11111,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,3,0,74.1,55556,12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
9,2,0.01,74.05,88889,12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
11,3,0.08,74.03333333,33333,12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
3,3,0,74.01666667,77778,12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
8,3,0.01,1.9,11111,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,3,0.04,73.95,55556,12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
8,4,0.01,1.85,44444,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4,0,73.91666667,44444,12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
5,4,0,73.88333333,33333,12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,3,0.01,73.81666667,11111,12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
4,0,0.03,73.78333333,8.925,12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
6,1,0.03,1.7,44444,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,2,0.01,73.73333333,33333,12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
8,2,0.01,73.71666667,77778,12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
3,0,0,1.516666667,33333,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,73.46666667,44444,12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2,0,0.02,73.4,22222,12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2,0,0.02,1.3,11111,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
