waitTime,numInQueue,sessionTime,daysLeftClean,daysLeft,hoursToDeadline,signUpTimeClean,adjustedSessionTAs,bitAndKarel,imagesAndGraphics,mapsAndDictionaries,lambdas,fileReading,grids,strings,userInteraction,queuesAndStacks,recursion,structs,objectOrientedProgramming,pointersAndMemory,sorting,hashTables,CS106ABinary
4,1,0.01,3.13,3.13,75.08333333,33333.0,20.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
3,1,0.01,0.0,80.13,75.06666667,77778.0,20.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
3,1,0.02,0.13,0.13,3,77778.0,20.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.02,3.13,3.13,75.01666667,11111.0,20.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,0,0.01,0.12,0.12,2.916666667,8.875,12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0.0,3.12,3.12,74.96666667,44444.0,12.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
7,0,0.01,0.12,0.12,2.833333333,22222.0,12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,0,0.01,3.12,3.12,74.9,22222.0,12.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,2,0.01,3.12,3.12,74.88333333,66667.0,12.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
16,2,0.01,0.12,0.12,2.8,11111.0,12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,3,0.11,0.12,0.12,2.783333333,55556.0,12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,3,0.0,3.12,3.12,74.78333333,33333.0,12.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
